Kept Isomer	Isomer[1]	Isomer[2]	Isomer[3]	Isomer[4]	Isomer[5]	Isomer[6]	Isomer[7]	Isomer[8]	Isomer[9]	Isomer[10]	Isomer[11]	Isomer[12]	Isomer[13]	Isomer[14]	Isomer[15]	Isomer[16]
LM:LMFA06000061																
LM:LMFA06000036																
LM:LMFA06000196	LM:LMFA06000198															
LM:LMFA06000006																
LM:LMFA06000048																
LM:LMFA06000155	LM:LMFA06000159	LM:LMFA06000166														
LM:LMFA06000187																
LM:LMFA05000178	LM:LMFA05000189															
LM:LMFA05000046	LM:LMFA05000151	LM:LMFA05000161	LM:LMFA05000165													
LM:LMFA06000184																
LM:LMFA05000188	LM:LMFA05000191															
LM:LMFA05000018																
LM:LMFA12000110																
LM:LMFA06000131	LM:LMFA06000133															
LM:LMFA06000004																
LM:LMFA06000022																
LM:LMFA06000033																
LM:LMFA05000025	LM:LMFA05000153															
LM:LMFA05000561																
LM:LMFA11000506																
LM:LMFA11000090																
LM:LMFA11000028																
LM:LMFA05000105																
LM:LMFA11000594																
LM:LMFA12000016																
LM:LMFA12000237																
LM:LMFA12000080																
LM:LMFA12000094																
LM:LMFA12000241																
LM:LMFA12000108																
LM:LMFA12000015																
LM:LMFA12000069																
LM:LMFA12000238	LM:LMFA12000239															
LM:LMFA06000120	LM:LMFA06000122															
LM:LMFA12000001																
LM:LMFA12000088																
LM:LMFA12000245																
LM:LMFA12000042																
LM:LMFA12000130																
LM:LMFA12000161																
LM:LMFA12000175																
LM:LMFA12000181																
LM:LMFA12000185																
LM:LMFA12000191																
LM:LMPK02000053	LM:LMPK02000054															
LM:LMFA11000626																
LM:LMFA11000602																
LM:LMFA11000684																
LM:LMFA05000537																
LM:LMFA05000132																
LM:LMFA11000036	LM:LMFA11000080															
LM:LMFA11000043	LM:LMFA11000062	LM:LMFA11000120														
LM:LMFA11000021	LM:LMFA11000023															
LM:LMFA06000169																
LM:LMFA11000123	LM:LMFA11000130															
LM:LMFA11000124																
LM:LMFA11000502																
LM:LMFA11000381																
LM:LMFA12000043																
LM:LMFA12000084																
LM:LMFA12000032	LM:LMFA12000079															
LM:LMFA05000695																
LM:LMFA12000027																
LM:LMFA11000688																
LM:LMFA11000680																
LM:LMFA05000461	LM:LMFA05000462															
LM:LMFA11000630																
LM:LMPK04000024																
LM:LMPK04000022																
LM:LMPK04000025																
LM:LMPK04000023																
LM:LMFA11000596																
LM:LMFA12000112																
LM:LMFA11000333																
LM:LMFA12000085																
LM:LMFA12000127																
LM:LMPK00000001																
LM:LMFA11000678																
LM:LMFA05000553																
LM:LMFA12000129																
LM:LMFA12000050																
LM:LMFA11000603																
LM:LMFA11000622																
LM:LMFA11000686																
LM:LMFA05000494																
LM:LMFA11000593																
LM:LMFA11000616																
LM:LMFA06000141	LM:LMFA06000142	LM:LMFA06000151														
LM:LMFA11000601																
LM:LMFA06000194	LM:LMFA06000206	LM:LMFA06000207	LM:LMFA06000208	LM:LMFA06000209	LM:LMFA06000214											
LM:LMFA05000034	LM:LMFA05000203															
LM:LMFA05000009																
LM:LMFA05000035																
LM:LMFA05000111																
LM:LMFA05000102	LM:LMFA05000104															
LM:LMPK09000002																
LM:LMPK01000056																
LM:LMFA11000059																
LM:LMFA11000672																
LM:LMFA11000699																
LM:LMFA11000627																
LM:LMFA11000702																
LM:LMFA11000609																
LM:LMFA11000625																
LM:LMFA11000501																
LM:LMFA12000029																
LM:LMFA12000022																
LM:LMFA12000093																
LM:LMFA04000043																
LM:LMFA04000033																
LM:LMFA06000016																
LM:LMFA05000466																
LM:LMFA05000482																
LM:LMFA05000031																
LM:LMFA06000013																
LM:LMFA05000691																
LM:LMFA11000645																
LM:LMFA11000644																
LM:LMFA11000656																
LM:LMFA11000649	LM:LMFA11000650															
LM:LMPK09000024																
LM:LMPK09000022	LM:LMPK09000026															
LM:LMPK09000032																
LM:LMPK09000004	LM:LMPK09000014															
LM:LMFA11000646																
LM:LMFA11000668																
LM:LMPK09000023																
LM:LMPK09000031																
LM:LMPK09000020																
LM:LMFA11000659																
LM:LMFA11000647	LM:LMFA11000648	LM:LMFA11000651														
LM:LMPK14000003																
LM:LMPK04000038																
LM:LMPK04000002																
LM:LMPK04000034																
LM:LMPK04000026																
LM:LMPK04000009																
LM:LMPK04000010																
LM:LMPK04000027																
LM:LMPK04000029																
LM:LMPK04000028																
LM:LMPK04000014																
LM:LMPK04000006																
LM:LMPK04000012																
LM:LMPK04000013																
LM:LMPK04000015																
LM:LMPK04000037																
LM:LMPK04000035																
LM:LMPK04000011																
LM:LMPK04000004																
LM:LMFA04000038																
LM:LMFA12000095																
LM:LMFA05000474																
LM:LMFA11000056																
LM:LMFA11000050																
LM:LMFA05000118																
LM:LMFA11000425																
LM:LMFA11000047																
LM:LMFA05000464																
LM:LMFA06000213																
LM:LMFA05000202																
LM:LMFA11000055																
LM:LMFA12000019																
LM:LMFA11000051																
LM:LMFA11000060																
LM:LMFA11000053																
LM:LMFA11000058																
LM:LMFA12000017																
LM:LMFA04000031																
LM:LMFA06000087																
LM:LMFA06000136	LM:LMFA06000137	LM:LMFA06000138														
LM:LMFA06000024	LM:LMFA06000126															
LM:LMFA06000226																
LM:LMFA06000158																
LM:LMFA06000183	LM:LMFA06000186															
LM:LMFA06000095	LM:LMFA06000201	LM:LMFA06000219	LM:LMFA06000223													
LM:LMFA06000240																
LM:LMFA05000197	LM:LMFA05000199	LM:LMFA05000205	LM:LMFA05000207													
LM:LMFA05000187	LM:LMFA05000190															
LM:LMFA05000026	LM:LMFA05000160	LM:LMFA05000164														
LM:LMFA05000119	LM:LMFA05000701															
LM:LMFA10000003																
LM:LMFA04000080																
LM:LMFA12000097	LM:LMFA12000104															
LM:LMFA05000468	LM:LMFA05000471	LM:LMFA05000480	LM:LMFA05000550													
LM:LMFA04000007	LM:LMFA04000075															
LM:LMFA04000042																
LM:LMFA05000488	LM:LMFA05000493															
LM:LMFA04000011	LM:LMFA04000045	LM:LMFA04000047														
LM:LMFA04000079																
LM:LMFA04000006	LM:LMFA04000074															
LM:LMFA04000013	LM:LMFA04000070	LM:LMFA04000073														
LM:LMFA04000008	LM:LMFA04000077															
LM:LMFA04000010																
LM:LMFA04000009	LM:LMFA04000076															
LM:LMFA04000068																
LM:LMFA04000069																
LM:LMFA04000078																
LM:LMFA04000012	LM:LMFA04000032	LM:LMFA04000072														
LM:LMFA05000556																
LM:LMFA04000051	LM:LMFA04000071															
LM:LMFA04000014	LM:LMFA04000052															
LM:LMFA04000037																
LM:LMFA04000029																
LM:LMFA06000060																
LM:LMFA10000002																
LM:LMFA04000041																
LM:LMFA04000046																
LM:LMFA04000048																
LM:LMFA04000030	LM:LMFA04000058	LM:LMFA04000059														
LM:LMFA04000067																
LM:LMFA04000036																
LM:LMFA04000027																
LM:LMFA04000040																
LM:LMFA04000028																
LM:LMFA04000001																
LM:LMFA04000035																
LM:LMFA04000025																
LM:LMFA04000039																
LM:LMFA04000026																
LM:LMFA04000034																
LM:LMFA04000024																
LM:LMFA04000081																
LM:LMFA04000044																
LM:LMFA11000016																
LM:LMFA04000063																
LM:LMFA06000111																
LM:LMFA00000004																
LM:LMFA06000102	LM:LMFA06000243															
LM:LMFA09000001																
LM:LMFA05000216																
LM:LMFA05000097																
LM:LMFA06000047																
LM:LMFA06000059																
LM:LMFA05000136	LM:LMFA05000555															
LM:LMFA06000003	LM:LMFA06000110															
LM:LMFA12000151																
LM:LMFA06000046	LM:LMFA06000117															
LM:LMFA06000021																
LM:LMFA12000134	LM:LMFA12000136															
LM:LMFA05000495	LM:LMFA05000496	LM:LMFA05000506														
LM:LMFA06000032																
LM:LMFA12000150																
LM:LMFA06000044																
LM:LMFA05000518																
LM:LMFA06000154	LM:LMFA06000164															
LM:LMFA06000172	LM:LMFA06000177															
LM:LMFA05000223																
LM:LMFA05000173	LM:LMFA05000180															
LM:LMFA05000024	LM:LMFA05000158	LM:LMFA05000636														
LM:LMFA05000043																
LM:LMFA05000133	LM:LMFA05000135															
LM:LMFA05000572																
LM:LMFA05000571																
LM:LMFA05000059	LM:LMFA05000113															
LM:LMFA05000110																
LM:LMFA05000629																
LM:LMFA12000247																
LM:LMFA12000026																
LM:LMFA12000076	LM:LMFA12000082															
LM:LMFA12000049																
LM:LMFA12000099																
LM:LMFA12000100																
LM:LMFA12000118																
LM:LMFA05000138																
LM:LMFA12000003																
LM:LMFA12000096	LM:LMFA12000105															
LM:LMFA12000031	LM:LMFA12000091	LM:LMFA12000092														
LM:LMFA12000083																
LM:LMFA12000101																
LM:LMFA11000685																
LM:LMFA05000465																
LM:LMFA05000472	LM:LMFA05000473															
LM:LMFA05000487																
LM:LMFA11000612																
LM:LMFA11000689																
LM:LMFA05000630																
LM:LMFA11000608																
LM:LMFA12000142																
LM:LMFA05000505																
LM:LMFA05000517																
LM:LMFA05000521																
LM:LMFA11000614																
LM:LMFA11000676																
LM:LMFA11000382																
LM:LMFA12000165	LM:LMFA12000166															
LM:LMFA11000360																
LM:LMFA11000607																
LM:LMFA11000624																
LM:LMFA05000015																
LM:LMFA11000697																
LM:LMFA12000077	LM:LMFA12000078															
LM:LMFA05000647																
LM:LMFA05000463																
LM:LMFA05000476																
LM:LMFA06000125																
LM:LMFA05000484																
LM:LMFA05000539																
LM:LMFA05000540																
LM:LMSL05000008																
LM:LMPK09000028																
LM:LMPK09000033																
LM:LMFA11000654																
LM:LMFA11000666																
LM:LMPK09000035																
LM:LMPK09000030																
LM:LMFA11000661																
LM:LMFA11000634																
LM:LMFA11000652																
LM:LMFA11000057																
LM:LMFA11000052																
LM:LMFA11000658																
LM:LMFA11000035																
LM:LMFA12000103																
LM:LMFA06000034	LM:LMFA06000132															
LM:LMFA05000058	LM:LMFA05000162	LM:LMFA05000166														
LM:LMFA06000173	LM:LMFA06000175	LM:LMFA06000185														
LM:LMFA06000191																
LM:LMFA06000094	LM:LMFA06000200	LM:LMFA06000218	LM:LMFA06000222													
LM:LMFA05000007	LM:LMFA05000196															
LM:LMFA05000179	LM:LMFA05000186															
LM:LMFA06000002																
LM:LMFA06000233																
LM:LMFA06000020																
LM:LMFA12000141																
LM:LMFA06000058																
LM:LMFA06000031																
LM:LMFA06000056																
LM:LMFA06000212																
LM:LMFA06000231																
LM:LMFA05000045	LM:LMFA05000148															
LM:LMFA05000060	LM:LMFA05000115															
LM:LMFA11000583																
LM:LMFA06000227																
LM:LMFA12000013																
LM:LMFA12000140																
LM:LMFA12000014																
LM:LMFA12000098																
LM:LMFA12000242	LM:LMFA12000243															
LM:LMFA06000129																
LM:LMFA12000047																
LM:LMFA12000124																
LM:LMFA12000244																
LM:LMFA11000610																
LM:LMFA11000683																
LM:LMFA12000048																
LM:LMFA12000128																
LM:LMFA12000025																
LM:LMFA11000611																
LM:LMFA05000479																
LM:LMFA11000592																
LM:LMFA11000595																
LM:LMFA11000606																
LM:LMFA11000695																
LM:LMFA11000416																
LM:LMFA11000433																
LM:LMFA11000613																
LM:LMFA11000693																
LM:LMFA11000619																
LM:LMFA11000674																
LM:LMFA11000388																
LM:LMFA11000017	LM:LMFA11000182															
LM:LMFA12000201																
LM:LMFA11000022	LM:LMFA11000359															
LM:LMFA12000197	LM:LMFA12000200															
LM:LMFA11000019																
LM:LMFA05000129																
LM:LMFA05000467																
LM:LMFA12000254																
LM:LMFA12000256																
LM:LMFA11000605																
LM:LMFA11000701																
LM:LMFA11000700																
LM:LMFA05000703																
LM:LMFA11000704																
LM:LMFA11000698																
LM:LMFA11000705																
LM:LMFA05000623																
LM:LMFA12000021																
LM:LMFA05000485	LM:LMFA05000486															
LM:LMFA05000497																
LM:LMFA05000549	LM:LMFA05000665															
LM:LMFA06000039																
LM:LMFA06000012																
LM:LMFA05000483																
LM:LMFA05000489	LM:LMFA05000491															
LM:LMFA05000508																
LM:LMFA11000667																
LM:LMFA11000664																
LM:LMPK09000034																
LM:LMFA11000657																
LM:LMFA12000009																
LM:LMFA05000702																
LM:LMFA06000069																
LM:LMFA06000045																
LM:LMFA06000157	LM:LMFA06000165	LM:LMFA06000167														
LM:LMFA06000195	LM:LMFA06000205	LM:LMFA06000221	LM:LMFA06000225													
LM:LMFA06000239																
LM:LMFA05000193																
LM:LMFA05000020	LM:LMFA05000150	LM:LMFA05000159														
LM:LMFA05000608																
LM:LMFA06000019																
LM:LMFA12000135																
LM:LMFA06000204																
LM:LMFA06000030																
LM:LMFA06000220	LM:LMFA06000224															
LM:LMFA05000023	LM:LMFA05000206	LM:LMFA05000208														
LM:LMFA06000043	LM:LMFA06000140															
LM:LMFA11000597																
LM:LMFA05000511																
LM:LMFA06000096	LM:LMFA06000199															
LM:LMFA06000174																
LM:LMFA06000086																
LM:LMFA06000093	LM:LMFA06000203															
LM:LMFA05000053	LM:LMFA05000054															
LM:LMFA05000631																
LM:LMFA06000055	LM:LMFA06000148															
LM:LMFA06000152	LM:LMFA06000162															
LM:LMFA06000081	LM:LMFA06000181															
LM:LMFA06000235	LM:LMFA06000241															
LM:LMFA05000047	LM:LMFA05000048															
LM:LMFA06000084	LM:LMFA06000192															
LM:LMFA06000234																
LM:LMFA05000057	LM:LMFA05000214															
LM:LMFA06000092	LM:LMFA06000211	LM:LMFA06000260														
LM:LMFA06000230	LM:LMFA06000237															
LM:LMFA11000131																
LM:LMFA05000220																
LM:LMFA05000212																
LM:LMFA05000056	LM:LMFA05000195															
LM:LMFA05000177	LM:LMFA05000185															
LM:LMFA05000049	LM:LMFA05000156															
LM:LMFA05000042	LM:LMFA05000140															
LM:LMFA05000128	LM:LMFA05000560															
LM:LMFA05000116																
LM:LMFA06000251																
LM:LMFA11000007																
LM:LMFA12000119	LM:LMFA12000123															
LM:LMFA12000252																
LM:LMFA12000011																
LM:LMFA06000254																
LM:LMFA12000055																
LM:LMFA12000148																
LM:LMFA12000158																
LM:LMFA12000062																
LM:LMFA05000602																
LM:LMSL05000001																
LM:LMFA11000687																
LM:LMFA12000004																
LM:LMFA11000604																
LM:LMFA12000139																
LM:LMFA12000126																
LM:LMFA11000621																
LM:LMFA06000150																
LM:LMFA11000623																
LM:LMFA11000675																
LM:LMFA11000692																
LM:LMFA11000618																
LM:LMFA11000599																
LM:LMPK01000058																
LM:LMFA11000478																
LM:LMFA05000078																
LM:LMFA05000137																
LM:LMFA05000477	LM:LMFA05000478	LM:LMFA05000615														
LM:LMFA12000257																
LM:LMFA11000707																
LM:LMFA05000624																
LM:LMFA12000120	LM:LMFA12000125															
LM:LMFA05000090	LM:LMFA05000093															
LM:LMFA05000605																
LM:LMFA06000051																
LM:LMFA05000490	LM:LMFA05000492	LM:LMFA05000568														
LM:LMFA05000693																
LM:LMFA05000657																
LM:LMFA05000514																
LM:LMFA05000564																
LM:LMFA06000253																
LM:LMFA11000669																
LM:LMFA11000319																
LM:LMFA12000133																
LM:LMFA05000558																
LM:LMFA06000057	LM:LMFA06000146															
LM:LMFA11000061																
LM:LMFA05000543																
LM:LMFA10000001																
LM:LMFA06000029																
LM:LMFA06000076	LM:LMFA06000255															
LM:LMFA11000157																
LM:LMFA06000068																
LM:LMFA04000064																
LM:LMFA00000014																
LM:LMFA04000050																
LM:LMFA11000171																
LM:LMFA11000174																
LM:LMFA11000170																
LM:LMFA06000082																
LM:LMFA04000062																
LM:LMFA05000596	LM:LMFA05000690															
LM:LMFA05000600																
LM:LMFA05000670																
LM:LMFA05000011																
LM:LMGL00000122																
LM:LMFA06000101	LM:LMFA06000242															
LM:LMFA11000137																
LM:LMFA05000217	LM:LMFA05000557															
LM:LMFA05000163	LM:LMFA05000573															
LM:LMFA06000042	LM:LMFA06000113															
LM:LMFA05000198	LM:LMFA05000201															
LM:LMFA06000147																
LM:LMFA12000170																
