database_name	Lipid Maps																																																																																																																			
database_version	6/12/2016																																																																																																																			
114.104465	C7H14O	LM:LMFA05000468	LM:LMFA05000471	LM:LMFA05000480	LM:LMFA05000550	LM:LMFA05000571	LM:LMFA06000001	LM:LMFA12000004	LM:LMFA12000032	LM:LMFA12000037	LM:LMFA12000047	LM:LMFA12000079	LM:LMFA12000083	LM:LMFA12000085	LM:LMFA12000088	LM:LMFA12000118																																																																																																				
114.14085	C8H18	LM:LMFA11000002	LM:LMFA11000604	LM:LMFA11000606	LM:LMFA11000608	LM:LMFA11000627	LM:LMFA11000711																																																																																																													
116.047344	C5H8O3	LM:LMFA07010948																																																																																																																		
116.047345	C5H8O3	LM:LMFA01020274	LM:LMFA01060004	LM:LMFA01060005	LM:LMFA01060006	LM:LMFA01060161	LM:LMFA01060192																																																																																																													
116.058578	C4H8N2O2	LM:LMFA08010026																																																																																																																		
116.08373	C6H12O2	LM:LMFA01010006	LM:LMFA01020074	LM:LMFA01020075	LM:LMFA01020076	LM:LMFA01020077	LM:LMFA01020078	LM:LMFA01020079	LM:LMFA06000012	LM:LMFA06000013	LM:LMFA06000014	LM:LMFA06000015	LM:LMFA06000125	LM:LMFA07010412	LM:LMFA07010503	LM:LMFA07010575	LM:LMFA07010874	LM:LMFA07010934	LM:LMFA07010950	LM:LMFA07010966	LM:LMFA12000029	LM:LMFA12000071	LM:LMFA12000076	LM:LMFA12000077	LM:LMFA12000078	LM:LMFA12000082																																																																																										
116.120115	C7H16O	LM:LMFA05000122	LM:LMFA05000461	LM:LMFA05000462	LM:LMFA05000465	LM:LMFA05000466	LM:LMFA05000477	LM:LMFA05000478	LM:LMFA05000483	LM:LMFA05000484	LM:LMFA05000615																																																																																																									
117.042594	C4H7NO3	LM:LMFA01060172																																																																																																																		
117.078979	C5H11NO2	LM:LMFA01100021	LM:LMFA01100022	LM:LMFA01100023	LM:LMFA01100040	LM:LMFA01100041	LM:LMFA01100046																																																																																																													
118.026609	C4H6O4	LM:LMFA01050528																																																																																																																		
118.02661	C4H6O4	LM:LMFA01170043	LM:LMFA01170118																																																																																																																	
118.041865	C8H6O	LM:LMFA05000606																																																																																																																		
118.062994	C5H10O3	LM:LMFA01050478	LM:LMFA01050491	LM:LMFA01050492																																																																																																																
118.062995	C5H10O3	LM:LMFA01050007	LM:LMFA01050008	LM:LMFA01050009	LM:LMFA01050010	LM:LMFA01050388	LM:LMFA01050389	LM:LMFA01050390	LM:LMFA01050391	LM:LMFA01050393	LM:LMFA01050394	LM:LMFA01050396	LM:LMFA01050399	LM:LMFA07010513																																																																																																						
118.074228	C4H10N2O2	LM:LMFA01100052																																																																																																																		
118.09938	C6H14O2	LM:LMFA05000583																																																																																																																		
120.024503	C4H8O2S	LM:LMFA01130006																																																																																																																		
120.042259	C4H8O4	LM:LMFA01050461																																																																																																																		
120.04226	C4H8O4	LM:LMFA01050378	LM:LMFA01050385	LM:LMFA01050397	LM:LMFA01050400																																																																																																															
120.057515	C8H8O	LM:LMFA05000672																																																																																																																		
122.073165	C8H10O	LM:LMFA06000036																																																																																																																		
124.05243	C7H8O2	LM:LMFA01030781	LM:LMFA01030782																																																																																																																	
124.088815	C8H12O	LM:LMFA06000034	LM:LMFA06000035	LM:LMFA06000121	LM:LMFA06000128	LM:LMFA06000131	LM:LMFA06000132	LM:LMFA06000133	LM:LMFA12000017	LM:LMFA12000038																																																																																																										
126.06808	C7H10O2	LM:LMFA01030488	LM:LMFA01030489	LM:LMFA01030490	LM:LMFA01030792	LM:LMFA06000027	LM:LMFA07010967	LM:LMFA12000238	LM:LMFA12000239																																																																																																											
126.104465	C8H14O	LM:LMFA05000114	LM:LMFA05000488	LM:LMFA05000493	LM:LMFA06000029	LM:LMFA06000030	LM:LMFA06000031	LM:LMFA06000032	LM:LMFA06000033	LM:LMFA12000009	LM:LMFA12000011	LM:LMFA12000036	LM:LMFA12000039	LM:LMFA12000095	LM:LMFA12000096	LM:LMFA12000105	LM:LMFA12000108	LM:LMFA12000113	LM:LMFA12000237																																																																																																	
126.14085	C9H18	LM:LMFA11000323	LM:LMFA11000594	LM:LMFA11000629	LM:LMFA11000632	LM:LMFA11000633	LM:LMFA11000635	LM:LMFA11000639	LM:LMFA11000640	LM:LMFA11000641	LM:LMFA11000642	LM:LMFA11000643	LM:LMFA11000647	LM:LMFA11000648	LM:LMFA11000649	LM:LMFA11000650	LM:LMFA11000651	LM:LMFA11000661	LM:LMFA11000662	LM:LMFA11000666	LM:LMFA11000667																																																																																															
127.943186	C2H2Cl2O2	LM:LMFA01090070																																																																																																																		
128.026215	C9H4O	LM:LMFA06000050																																																																																																																		
128.047344	C6H8O3	LM:LMFA01030943	LM:LMFA01031001																																																																																																																	
128.047345	C6H8O3	LM:LMFA01050273	LM:LMFA01060174	LM:LMFA07040005																																																																																																																
128.058578	C5H8N2O2	LM:LMFA01100037	LM:LMFA01100038																																																																																																																	
